Date,Adj Close
2017-08-31,241.85231
2017-09-01,242.194351
2017-09-05,240.454895
2017-09-06,241.275742
2017-09-07,241.246445
2017-09-08,240.963058
2017-09-11,243.533127
2017-09-12,244.353989
2017-09-13,244.471268
2017-09-14,244.393082
2017-09-15,244.722092
2017-09-18,245.242584
2017-09-19,245.488113
2017-09-20,245.576477
2017-09-21,244.918488
2017-09-22,244.967621
2017-09-25,244.466736
2017-09-26,244.614059
2017-09-27,245.566666
2017-09-28,245.861282
2017-09-29,246.725494
2017-10-02,247.795975
2017-10-03,248.326279
2017-10-04,248.620911
2017-10-05,250.094025
2017-10-06,249.809219
2017-10-09,249.396759
2017-10-10,250.054718
2017-10-11,250.447556
2017-10-12,250.074371
2017-10-13,250.378815
2017-10-16,250.712708
2017-10-17,250.889496
2017-10-18,251.13501
2017-10-19,251.203766
2017-10-20,252.500076
2017-10-23,251.518005
2017-10-24,251.95993
2017-10-25,250.712708
2017-10-26,251.036789
2017-10-27,253.08931
2017-10-30,252.14653
2017-10-31,252.539352
2017-11-01,252.873245
2017-11-02,252.971466
2017-11-03,253.816071
2017-11-06,254.208908
2017-11-07,254.03212
2017-11-08,254.464203
2017-11-09,253.541107
2017-11-10,253.462494
2017-11-13,253.698196
2017-11-14,253.108963
2017-11-15,251.842102
2017-11-16,253.983017
2017-11-17,253.236633
2017-11-20,253.668762
2017-11-21,255.328445
2017-11-22,255.102615
2017-11-24,255.691818
2017-11-27,255.564178
2017-11-28,258.15683
2017-11-29,257.999664
2017-11-30,260.258484
2017-12-01,259.718292
2017-12-04,259.404053
2017-12-05,258.471069
2017-12-06,258.520172
2017-12-07,259.335266
2017-12-08,260.749451
2017-12-11,261.535126
2017-12-12,261.996704
2017-12-13,261.967224
2017-12-14,260.896759
2017-12-15,263.069366
2017-12-18,264.737549
2017-12-19,263.720856
2017-12-20,263.582672
2017-12-21,264.125549
2017-12-22,264.056458
2017-12-26,263.74057
2017-12-27,263.868896
2017-12-28,264.411835
2017-12-29,263.414856
2018-01-02,265.300171
2018-01-03,266.978241
2018-01-04,268.103546
2018-01-05,269.890198
2018-01-08,270.383728
2018-01-09,270.995728
2018-01-10,270.581116
2018-01-11,272.555298
2018-01-12,274.332092
2018-01-16,273.394348
2018-01-17,276.000244
2018-01-18,275.536346
2018-01-19,276.789948
2018-01-22,279.040497
2018-01-23,279.632751
2018-01-24,279.52417
2018-01-25,279.642609
2018-01-26,282.880249
2018-01-29,281.004761
2018-01-30,278.122528
2018-01-31,278.260712
2018-02-01,277.944794
2018-02-02,271.893951
2018-02-05,260.522675
2018-02-06,265.655548
2018-02-07,264.214417
2018-02-08,254.304031
2018-02-09,258.124054
2018-02-12,261.914459
2018-02-13,262.565948
2018-02-14,266.109619
2018-02-15,269.505219
2018-02-16,269.584137
2018-02-20,267.896271
2018-02-21,266.56366
2018-02-22,266.909149
2018-02-23,271.163513
2018-02-26,274.312347
2018-02-27,270.887115
2018-02-28,268.143005
2018-03-01,264.244049
2018-03-02,265.606201
