Symbols
AAPL
MSFT
AMZN
GOOGL
BRK/B
FB
JNJ
JPM
XOM
WMT
V
BAC
UNH
PFE
WFC
VZ
PG
CVX
T
INTC
CSCO
HD
MA
KO
BA
MRK
DIS
CMCSA
C
MCD
PM
DWDP
ABBV
NFLX
ABT
MDT
NVDA
AMGN
NKE
ADBE
MO
LLY
MMM
IBM
HON
UNP
ACN
UTX
COST
CRM
AVGO
TMO
UPS
AXP
TXN
GILD
SBUX
BKNG
LMT
LIN
FOXA
FOX
BMY
GS
USB
NEE
CHTR
CVS
MS
LOW
COP
CAT
GE
ANTM
DHR
AMT
SLB
TJX
QCOM
AET
CME
BLK
BIIB
BDX
ADP
MDLZ
SCHW
SYK
PNC
EOG
DUK
ISRG
CB
FDX
SPG
INTU
AGN
OXY
ESRX
CL
GD
RTN
BSX
CI
CELG
EL
GM
NOC
HCA
ILMN
BK
SO
D
SPGI
DE
HUM
MPC
NSC
VRTX
ECL
CCI
PSX
ZTS
TGT
ICE
MET
MU
MMC
ITW
EXC
EMR
COF
PGR
PLD
ATVI
CTSH
CCL
AON
PRU
HPQ
BBT
DAL
SHW
AIG
KMI
REGN
WM
STZ
ROST
KMB
F
VLO
AEP
LYB
PSA
FIS
APD
SYY
TRV
AFL
BAX
AMAT
VFC
ADI
ALL
EW
FISV
SRE
ETN
JCI
MNST
EQIX
DG
ROP
RHT
WMB
HAL
ADSK
LUV
MCO
APC
CNC
STI
EBAY
ORLY
YUM
BHGE
TEL
ALXN
APH
STT
CXO
